k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
2,4.623215,0.001157176,0.5042579,0.8635523,0.1834082,9.932643,20.66115
2,4.605173,0.001279353,0.503985,0.8637115,0.1836903,9.932549,20.66142
2,4.625799,0.001552241,0.5043122,0.86352,0.1840323,9.932567,20.66157
2,4.648104,0.001802115,0.504661,0.8633157,0.1841782,9.932583,20.66197
2,4.689682,0.002274135,0.5053169,0.8629309,0.1844481,9.932528,20.66191
2,4.708982,0.002417722,0.5056198,0.862753,0.1845272,9.93248,20.66158
2,4.738963,0.002601394,0.5060795,0.862483,0.1846857,9.932379,20.66156
2,4.765592,0.00278059,0.5064947,0.8622386,0.1846149,9.932199,20.661
2,4.791337,0.002946993,0.5069091,0.8619944,0.1841092,9.932158,20.65989
2,4.804485,0.00293019,0.5071172,0.8618721,0.1838808,9.932069,20.65904
2,4.768469,0.003038603,0.5065889,0.8621824,0.183542,9.931875,20.65816
2,4.777908,0.002821981,0.5067284,0.8621011,0.1832884,9.931752,20.65737
2,4.772,0.002660835,0.5066605,0.8621415,0.1828706,9.931805,20.65574
2,4.742806,0.002195567,0.506206,0.8624098,0.1826857,9.931769,20.6549
2,4.728204,0.002021641,0.5059907,0.8625365,0.1824735,9.931715,20.65392
2,4.716007,0.001941314,0.5058155,0.8626395,0.1822518,9.931659,20.65304
2,4.662242,0.002275738,0.5050281,0.8630999,0.1821946,9.931707,20.65283
2,4.573418,0.002662175,0.5037141,0.8638663,0.1820378,9.931623,20.65231
2,4.554706,0.002627854,0.5034481,0.8640214,0.1817396,9.93161,20.65127
2,4.545968,0.002631975,0.503324,0.8640938,0.1815519,9.931547,20.65066
2,4.519781,0.002611934,0.5029404,0.8643172,0.1813096,9.931562,20.64992
2,4.510758,0.002614653,0.5028141,0.8643906,0.1811211,9.93156,20.64933
2,4.508282,0.002602174,0.502781,0.8644099,0.1809765,9.93151,20.64893
2,4.49488,0.002561304,0.502579,0.8645275,0.1808472,9.931397,20.64854
2,4.491872,0.002430496,0.5025166,0.8645641,0.1811772,9.931436,20.64911
2,4.403755,0.002450044,0.5011872,0.8653354,0.1810823,9.931336,20.64877
2,4.394628,0.002416142,0.5010374,0.8654222,0.1813083,9.931363,20.64932
2,4.38691,0.00211465,0.500908,0.8654979,0.1812239,9.931496,20.64922
2,4.364979,0.002291838,0.5005852,0.8656842,0.181367,9.931576,20.64952
2,4.36287,0.002227478,0.5005277,0.8657176,0.1815574,9.931712,20.65105
2,4.356805,0.002403443,0.5004518,0.865761,0.1813891,9.931726,20.65085
2,4.28624,0.002710719,0.4994,0.8663673,0.1813041,9.93176,20.651
2,4.207613,0.003525752,0.4982584,0.8670214,0.1811303,9.931793,20.65072
2,4.151618,0.003493848,0.4974072,0.8675102,0.1810468,9.93182,20.65079
2,4.11485,0.003554652,0.4968578,0.8678247,0.1809205,9.931766,20.65041
2,4.028905,0.003854908,0.4955686,0.8685603,0.1807376,9.931751,20.65031
2,3.997774,0.004110813,0.4951084,0.8688215,0.1806346,9.931732,20.65024
