StartTime,NowTime,PathTime
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.3
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.3
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.3
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.4
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.4
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.4
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.4
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.5
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.5
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.5
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.6
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.6
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.6
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.7
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.7
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.8
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.8
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.8
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.8
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.8
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.9
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.9
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.9
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:10.9
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:10.9
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.0
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.0
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.1
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.1
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.1
9/18/2018 5:31:52 PM,9/18/2018 5:31:52 PM,00:11.2
